fraction,train_size,seed,best_val_acc,test_acc,test_f1,train_time,inference_time
1.0,34998,42,0.8444414822713943,0.8430666666666666,0.843023061961656,14.364197969436646,0.14717888832092285
1.0,34998,123,0.8428419088243135,0.8393333333333334,0.8390457932928392,14.163766145706177,0.1620628833770752
1.0,34998,456,0.8308451079712077,0.8258666666666666,0.8255530529230897,14.379981994628906,0.1526470184326172
0.5,17500,42,0.8340442548653693,0.8325333333333333,0.8324680956651991,7.712389707565308,0.17748785018920898
0.5,17500,123,0.8367102106105039,0.842,0.8419965590361745,7.448122978210449,0.17046594619750977
0.5,17500,456,0.8269794721407625,0.8258666666666666,0.8251624177772497,7.746971130371094,0.1632249355316162
0.25,8750,42,0.8151159690749133,0.8206666666666667,0.8201829315802606,4.376903772354126,0.17897891998291016
0.25,8750,123,0.8145827779258864,0.8201333333333334,0.819261156758251,4.119363069534302,0.1668868064880371
0.25,8750,456,0.8176486270327913,0.8237333333333333,0.8233530194500887,4.14672589302063,0.15767121315002441
0.1,3500,42,0.7740602505998401,0.7806666666666666,0.7805552433476489,2.226599931716919,0.16324305534362793
0.1,3500,123,0.7784590775793122,0.7818666666666667,0.7818661082439038,2.098788261413574,0.17189979553222656
0.1,3500,456,0.7781924820047987,0.786,0.78593268201266,2.2148830890655518,0.20544886589050293
0.05,1750,42,0.7679285523860304,0.7701333333333333,0.7699055050134619,1.5748391151428223,0.1599433422088623
0.05,1750,123,0.7695281258331111,0.774,0.7739652448960552,1.5481739044189453,0.15614604949951172
0.05,1750,456,0.7697947214076246,0.7718666666666667,0.7705272433650989,1.623412847518921,0.17108988761901855
0.01,350,42,0.7067448680351907,0.6992,0.6975973141494216,1.0469660758972168,0.18396902084350586
0.01,350,123,0.6954145561183684,0.6924,0.690164951864052,1.0219671726226807,0.1721639633178711
0.01,350,456,0.6943481738203146,0.7006666666666667,0.6975030106422708,1.0132710933685303,0.17567086219787598
